idx node inc_port label operation out_port out_label last_idx 
1 R1 1313 60 POP 0 0 0
2 R1 1313 12 POP 0 0 1
1 R3 303 10 SWAP 0 12 0
2 R3 303 12 ADD 3131 60 1
3 R1 1313 13 POP 0 0 1
1 R2 202 10 SWAP 2525 11 0
3 R3 3535 12 SWAP 0 13 6
4 R3 3535 13 ADD 3131 60 3
1 R5 5252 11 SWAP 0 12 0
2 R5 5252 12 ADD 5353 51 1
2 R2 202 21 SWAP 2525 22 0
5 R3 3535 13 POP 0 0 0
3 R5 5252 22 SWAP 5353 13 0
6 R3 3535 51 POP 0 0 0
1 R4 404 10 SWAP 4545 11 0
4 R5 5454 11 SWAP 0 14 0
5 R5 5454 14 ADD 5353 51 4
7 R3 3535 14 POP 0 0 6
